python_version	relative_path	kind	byte_exact	structure_equal	metadata_equal	dtypes_equal	nan_masks_equal	values_exact	canonical_exact	differing_pixels	rms_channel_difference	max_absolute_difference	max_relative_difference	within_tolerance	status
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-LWCF-ANN-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-LWCF-DJF-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-LWCF-DJF-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-LWCF-JJA-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-LWCF-JJA-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-LWCF-MAM-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-LWCF-MAM-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-LWCF-SON-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AIRS_specOLR/AIRS_specOLR-LWCF-SON-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODDUST-ANN-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODDUST-ANN-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODDUST-DJF-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODDUST-DJF-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODDUST-JJA-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODDUST-JJA-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODDUST-MAM-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODDUST-MAM-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODDUST-SON-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODDUST-SON-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODVIS-ANN-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODVIS-ANN-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODVIS-DJF-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODVIS-DJF-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODVIS-JJA-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODVIS-JJA-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODVIS-MAM-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
